,siren,effectifs,code_specialite_1,nb_stagiaires_1,nb_heures_stagiaires_1, 
42079,483973871,0,320.0,0,0, 
42082,483040713,0,312.0,0,0, 
42083,841335300,0,311.0,0,0, 
42084,840221832,0,314.0,0,0, 
42085,493684278,0,134.0,0,0, 
86088,750338717,0,333.0,0,0, 
42090,662028471,0,300.0,0,0, 
86087,835376542,0,131.0,0,0, 
42096,527685663,1,100.0,0,0, 
42097,833144496,0,100.0,0,0, 
42100,832179196,0,331.0,0,0, 
42102,817865959,0,333.0,0,0, 
42103,822573911,0,412.0,0,0, 
42104,753379460,0,124.0,0,0, 
42106,808294615,0,321.0,0,0, 
42108,750018129,0,326.0,0,0, 
42170,831800586,2,315.0,0,0, 
86693,807903604,1,333.0,0,0, 
39019,441127875,29,312.0,0,0, 
39008,419799762,5,344.0,0,0, 
42150,492727201,0,330.0,0,0, 
42152,809419799,1,314.0,0,0, 
86698,393846811,1,312.0,0,0, 
39003,528441488,1,122.0,0,0, 
42154,837670231,0,312.0,0,0, 
42157,833346778,0,311.0,0,0, 
42159,848101051,0,310.0,0,0, 
39000,823848932,0,312.0,0,0, 
42161,947350153,2,100.0,0,0, 
42164,794270413,0,312.0,0,0, 
42166,753713205,1,312.0,0,0, 
38999,847882776,0,320.0,0,0, 
38998,451883037,0,310.0,0,0, 
42167,422757153,0,413.0,0,0, 
42147,880346234,0,344.0,0,0, 
42130,514516475,0,344.0,0,0, 
42146,814001525,0,114.0,0,0, 
39011,834311953,0,300.0,0,0, 
42131,838402030,0,300.0,0,0, 
42132,440323384,1,413.0,0,0, 
42133,433476090,0,315.0,0,0, 
39018,409757820,0,999.0,0,0, 
39017,419941638,0,413.0,0,0, 
42134,411189038,0,314.0,0,0, 
42135,352163497,0,250.0,0,0, 
42137,798046579,1,124.0,0,0, 
86694,518399969,0,312.0,0,0, 
42138,342137791,1,300.0,0,0, 
42140,333975100,3,326.0,0,0, 
42142,881829071,0,333.0,0,0, 
39013,500349600,0,311.0,0,0, 
86080,530643717,0,321.0,0,0, 
39012,485009591,0,336.0,0,0, 
39010,410292452,1,310.0,0,0, 
42564,751431800,8,232.0,0,0, 
42306,539125435,0,344.0,0,0, 
42309,814903019,1,333.0,0,0, 
42464,851838870,0,344.0,0,0, 
86026,519513816,0,326.0,0,0, 
42467,397553660,5,200.0,0,0, 
42472,435216403,0,331.0,0,0, 
42473,519682397,0,136.0,0,0, 
42478,515258606,3,114.0,0,0, 
42482,814814745,0,312.0,0,0, 
42485,533724472,3,100.0,0,0, 
42489,328286851,0,221.0,0,0, 
42490,851566406,0,326.0,0,0, 
42491,800741217,0,343.0,0,0, 
42493,421798067,5,326.0,0,0, 
86024,422392597,0,326.0,0,0, 
38932,790267991,0,136.0,0,0, 
38928,508328150,0,331.0,0,0, 
86720,801013244,0,136.0,0,0, 
42498,448462200,0,326.0,0,0, 
86719,830932554,0,324.0,0,0, 
85936,512981713,0,201.0,0,0, 
86030,838800829,0,414.0,0,0, 
42443,519136436,5,315.0,0,0, 
42444,850662263,0,312.0,0,0, 
42445,810615591,2,200.0,0,0, 
